Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Return,Close_lag_1,Close_lag_2,Close_lag_3,Close_lag_4,Close_lag_5,MA_7,STD_7,MA_14,STD_14,MA_21,STD_21,Momentum_7,Volume_change
2016-01-01,RELIANCE,EQ,1014.6,1009.8,1018.9,1008.2,1013.6,1015.35,1015.52,1238135.0,1257352825.0,30701.0,529539.0,42.77,-0.019746885310484186,1015.35,1015.35,1015.35,1015.35,1015.35,1015.35,0.0,1015.35,0.0,1015.35,0.0,30.100000000000023,0.0
2016-01-04,RELIANCE,EQ,1015.35,1005.0,1013.8,986.7,993.2,995.3,998.91,6896571.0,6889070475.0,66235.0,4974602.0,72.13,-0.019746885310484186,1015.35,1015.35,1015.35,1015.35,1015.35,1005.325,14.177490962790365,1005.325,14.177490962790365,1005.325,14.177490962790365,30.100000000000023,4.570128459336018
2016-01-05,RELIANCE,EQ,995.3,1000.3,1010.0,997.0,1005.0,1005.15,1003.41,3416459.0,3428125271.0,59935.0,1987804.0,58.18,0.009896513613985691,995.3,1015.35,1015.35,1015.35,1015.35,1005.2666666666668,10.02550913087882,1005.2666666666668,10.02550913087882,1005.2666666666668,10.02550913087882,30.100000000000023,-0.5046148296015512
2016-01-06,RELIANCE,EQ,1005.15,1007.6,1038.4,1000.4,1029.1,1032.2,1028.15,6116855.0,6289073421.0,160947.0,2912662.0,47.62,0.02691140625777244,1005.15,995.3,1015.35,1015.35,1015.35,1012.0,15.759388736030816,1012.0,15.759388736030816,1012.0,15.759388736030816,30.100000000000023,0.7904078462525088
2016-01-07,RELIANCE,EQ,1032.2,1021.05,1028.0,1008.05,1018.9,1013.25,1016.73,4512219.0,4587700425.0,105075.0,2474491.0,54.84,-0.018358845185041717,1032.2,1005.15,995.3,1015.35,1015.35,1012.25,13.659474733678497,1012.25,13.659474733678497,1012.25,13.659474733678497,30.100000000000023,-0.26233023342878004
2016-01-08,RELIANCE,EQ,1013.25,1020.0,1032.9,1016.7,1027.4,1025.75,1026.11,4871839.0,4999056504.0,176664.0,2746938.0,56.38,0.012336540833950194,1013.25,1032.2,1005.15,995.3,1015.35,1014.5,13.402984742213242,1014.5,13.402984742213242,1014.5,13.402984742213242,30.100000000000023,0.07969914580830406
2016-01-11,RELIANCE,EQ,1025.75,1015.95,1060.8,1011.0,1054.0,1051.6,1047.9,6632671.0,6950389025.0,135818.0,3486732.0,52.57,0.025201072386058954,1025.75,1013.25,1032.2,1005.15,995.3,1019.8000000000001,18.60994357863559,1019.8000000000001,18.60994357863559,1019.8000000000001,18.60994357863559,30.100000000000023,0.36143066304120475
2016-01-12,RELIANCE,EQ,1051.6,1055.0,1065.4,1041.1,1044.4,1045.45,1053.1,5342761.0,5626465576.0,143685.0,3007937.0,56.3,-0.005848231266641135,1051.6,1025.75,1013.25,1032.2,1005.15,1024.1,20.763228714886026,1023.00625,19.47035177428201,1023.00625,19.47035177428201,30.100000000000023,-0.19447821247277308
2016-01-13,RELIANCE,EQ,1045.45,1053.1,1089.75,1047.2,1073.2,1076.85,1060.93,16412811.0,17412825596.0,176074.0,7926373.375,55.27,0.030034913195274626,1045.45,1051.6,1025.75,1013.25,1032.2,1035.75,24.459950258875626,1028.9888888888888,25.57020700172589,1028.9888888888888,25.57020700172589,81.54999999999995,2.0719717763905217
2016-01-14,RELIANCE,EQ,1076.85,1063.85,1081.0,1053.05,1060.45,1061.65,1067.41,6359913.0,6788622870.0,137443.0,3284265.0,51.64,-0.014115243534382538,1076.85,1045.45,1051.6,1025.75,1013.25,1043.8214285714287,21.86378011580773,1032.2549999999999,26.227121776258034,1032.2549999999999,26.227121776258034,56.500000000000114,-0.6125031233223852
2016-01-15,RELIANCE,EQ,1061.65,1069.75,1089.5,1065.6,1072.6,1073.3,1080.4,6575725.0,7104390948.0,136461.0,3749070.0,57.01,0.010973484670088851,1061.65,1076.85,1045.45,1051.6,1025.75,1049.6928571428573,23.667002848048515,1035.9863636363636,27.789018432728927,1035.9863636363636,27.789018432728927,41.09999999999991,0.03393316858265205
2016-01-18,RELIANCE,EQ,1073.3,1075.0,1083.95,1008.1,1020.4,1016.85,1049.91,6229959.0,6540923210.0,196022.0,3348625.0,53.75,-0.05259480108077885,1073.3,1061.65,1076.85,1045.45,1051.6,1050.2071428571428,22.765039508191865,1034.3916666666667,27.06554194185038,1034.3916666666667,27.06554194185038,3.6000000000000227,-0.052582186755072646
2016-01-19,RELIANCE,EQ,1016.85,1029.0,1049.8,1014.1,1046.95,1043.6,1036.51,4912096.0,5091435246.0,136592.0,2110252.0,42.96,0.026306731572995012,1016.85,1073.3,1061.65,1076.85,1045.45,1052.7571428571428,20.451027451195166,1035.1,26.03883317918326,1035.1,26.03883317918326,17.84999999999991,-0.21153638410782483
2016-01-20,RELIANCE,EQ,1043.6,1034.9,1034.9,990.0,1009.15,1004.55,1008.92,10312353.0,10404327994.0,219237.0,3884483.0,37.67,-0.037418551169030256,1043.6,1016.85,1073.3,1061.65,1076.85,1046.0357142857142,27.434204840638362,1032.9178571428572,26.31596186539833,1032.9178571428572,26.31596186539833,-47.049999999999955,1.0993793688071243
2016-01-21,RELIANCE,EQ,1004.55,1017.55,1025.75,976.7,982.45,984.2,994.85,7261772.0,7224376995.0,184992.0,2395817.0,32.99,-0.02025782688766109,1004.55,1043.6,1016.85,1073.3,1061.65,1037.2857142857142,36.06288158995939,1030.692857142857,29.08658068292272,1029.6699999999998,28.307102844137347,-61.25,-0.29581813190452266
2016-01-22,RELIANCE,EQ,984.2,994.05,1011.0,994.05,1004.05,1004.15,1003.25,5413455.0,5431058011.0,125503.0,2921202.0,53.96,0.020270270270270174,984.2,1004.55,1043.6,1016.85,1073.3,1026.9,33.11794578975772,1031.325,28.34492730359617,1028.075,28.08161320152381,-72.69999999999993,-0.25452699423777003
2016-01-25,RELIANCE,EQ,1004.15,1010.0,1018.75,1000.0,1000.2,1003.95,1010.67,2994340.0,3026275942.0,88530.0,1470352.0,49.1,-0.0001991734302643211,1004.15,984.2,1004.55,1043.6,1016.85,1018.6571428571427,30.067471745107643,1031.2392857142856,28.431849547317814,1026.6558823529413,27.81235608026205,-57.700000000000045,-0.44687080616722596
2016-01-27,RELIANCE,EQ,1003.95,1008.1,1010.0,996.95,997.0,999.35,1004.13,3943295.0,3959581189.0,90937.0,2006348.0,50.88,-0.004581901489117968,1003.95,1004.15,984.2,1004.55,1043.6,1008.092857142857,18.393894561588606,1028.892857142857,29.674820050927686,1025.138888888889,27.738932904724447,-73.94999999999993,0.31691624865579726
2016-01-28,RELIANCE,EQ,999.35,1001.0,1021.8,997.1,1015.5,1016.9,1012.35,5274473.0,5339625414.0,87223.0,2985253.0,56.6,0.01756141491969765,999.35,1003.95,1004.15,984.2,1004.55,1008.1,18.39787125367085,1029.1535714285715,29.54255382095007,1024.7052631578947,27.023579697166635,0.049999999999954525,0.337580120178683
2016-01-29,RELIANCE,EQ,1016.9,1018.95,1040.0,1018.0,1036.0,1035.4,1032.75,4383577.0,4527146899.0,85556.0,2336975.0,53.31,0.01819254597305542,1016.9,999.35,1003.95,1004.15,984.2,1006.9285714285714,15.84468515367315,1029.8428571428572,29.56959754377957,1025.24,26.411309379845026,-8.199999999999818,-0.16890711166783867
2016-02-01,RELIANCE,EQ,1035.4,1039.95,1041.8,1025.55,1028.2,1030.3,1032.86,2267273.0,2341781935.0,66817.0,943684.0,41.62,-0.004925632605756403,1035.4,1016.9,999.35,1003.95,1004.15,1010.6071428571429,18.037771216981763,1028.3214285714287,28.904515978580903,1025.4809523809522,25.766230206369237,25.75,-0.4827801587607563
2016-02-02,RELIANCE,EQ,1030.3,1030.3,1032.8,990.5,995.5,1001.15,1013.98,3376466.0,3423672334.0,107860.0,1517109.0,44.93,-0.028292730272736044,1030.3,1035.4,1016.9,999.35,1003.95,1013.0285714285714,14.737844062787309,1025.1571428571428,29.30718510708751,1024.804761904762,26.227589980600026,16.949999999999932,0.4892189868621908
2016-02-03,RELIANCE,EQ,1001.15,988.0,994.0,975.0,980.0,981.4,984.1,3586808.0,3529766340.0,84824.0,1560107.0,43.5,-0.019727313589372186,1001.15,1030.3,1035.4,1016.9,999.35,1009.7785714285714,18.933322853786116,1018.3392857142857,27.396821675371,1024.142857142857,27.167969586050496,-22.75,0.06229649580360053
2016-02-04,RELIANCE,EQ,981.4,988.0,1001.0,965.7,977.65,973.05,983.08,4161079.0,4090669618.0,117696.0,1682274.0,40.43,-0.0085082535153862,981.4,1001.15,1030.3,1035.4,1016.9,1005.3642857142858,23.556451952096086,1012.0107142857142,26.850305674892248,1022.6142857142858,29.12271940795154,-30.90000000000009,0.16010642331566127
2016-02-05,RELIANCE,EQ,973.05,979.1,982.0,961.4,974.9,970.9,970.48,4799882.0,4658176118.0,166929.0,2621080.0,54.61,-0.0022095472997276655,973.05,981.4,1001.15,1030.3,1035.4,1001.3,26.973520966557444,1004.6964285714286,22.45840141141007,1019.695238095238,31.117679479525197,-28.450000000000045,0.1535185945760702
2016-02-08,RELIANCE,EQ,970.9,971.1,984.8,957.95,959.65,961.05,974.75,2760853.0,2691151281.0,69133.0,1166891.0,42.27,-0.010145226078895897,970.9,973.05,981.4,1001.15,1030.3,993.3214285714286,29.711177149669183,1000.7107142857142,24.948926125890544,1017.2095238095237,33.640874018994936,-55.85000000000002,-0.4248081515337252
2016-02-09,RELIANCE,EQ,961.05,952.9,968.8,950.0,956.75,957.5,961.0,4481029.0,4306263438.0,91823.0,2189127.0,48.85,-0.0036938764892564535,961.05,970.9,973.05,981.4,1001.15,982.1928571428572,25.632587146238148,994.5607142857143,24.16290210036997,1013.9595238095237,35.989333902725726,-77.90000000000009,0.6230596123734222
2016-02-10,RELIANCE,EQ,957.5,951.7,973.0,948.65,965.4,962.65,962.41,3859250.0,3714199986.0,74240.0,1462647.0,37.9,0.005378590078328971,957.5,961.05,970.9,973.05,981.4,972.5285714285714,15.033375567461428,991.5678571428571,25.393977232215974,1009.7238095238096,36.567566295309796,-67.64999999999998,-0.13875808435964154
