Symbol,Open Price,High Price,Low Price,Close Price,Close_lag_1,Close_lag_2,MA_7,MA_21,Total Traded Quantity,Volume_change,Turnover,RSI_14,MACD,BB_position,Volatility_14,Momentum_14,Target_Close
RELIANCE,1009.8,1018.9,1008.2,1015.35,1015.35,1015.35,1015.35,1015.35,1238135,0.0,1257352825.0,50.0,0.0,0.5961709229735624,0.02096104839691066,-31.149999999999977,995.3
RELIANCE,1005.0,1013.8,986.7,995.3,1015.35,1015.35,1005.325,1005.325,6896571,4.570128459336018,6889070475.0,50.0,-1.5994301994302305,0.5961709229735624,0.02096104839691066,-31.149999999999977,1005.15
RELIANCE,1000.3,1010.0,997.0,1005.15,995.3,1015.35,1005.2666666666668,1005.2666666666668,3416459,-0.5046148296015512,3428125271.0,50.0,-2.048562917508775,0.5961709229735624,0.02096104839691066,-31.149999999999977,1032.2
RELIANCE,1007.6,1038.4,1000.4,1032.2,1005.15,995.3,1012.0,1012.0,6116855,0.7904078462525088,6289073421.0,50.0,-0.21926732150177486,0.5961709229735624,0.02361226321054132,-31.149999999999977,1013.25
RELIANCE,1021.05,1028.0,1008.05,1013.25,1032.2,1005.15,1012.25,1012.25,4512219,-0.26233023342878004,4587700425.0,50.0,-0.29524065999771665,0.5961709229735624,0.022720991515722724,-31.149999999999977,1025.75
RELIANCE,1020.0,1032.9,1016.7,1025.75,1013.25,1032.2,1014.5,1014.5,4871839,0.07969914580830406,4999056504.0,50.0,0.6457516321777348,0.5961709229735624,0.02047541801339783,-31.149999999999977,1051.6
RELIANCE,1015.95,1060.8,1011.0,1051.6,1025.75,1013.25,1019.8000000000001,1019.8000000000001,6632671,0.36143066304120475,6950389025.0,50.0,3.4377455746833903,0.5961709229735624,0.02057935139047116,-31.149999999999977,1045.45
RELIANCE,1055.0,1065.4,1041.1,1045.45,1051.6,1025.75,1024.1,1023.00625,5342761,-0.19447821247277308,5626465576.0,50.0,5.095430337903963,0.5961709229735624,0.019316175796081563,-31.149999999999977,1076.85
RELIANCE,1053.1,1089.75,1047.2,1076.85,1045.45,1051.6,1035.75,1028.9888888888888,16412811,2.0719717763905217,17412825596.0,50.0,8.840961929168998,0.5961709229735624,0.02005817805863363,-31.149999999999977,1061.65
RELIANCE,1063.85,1081.0,1053.05,1061.65,1076.85,1045.45,1043.8214285714287,1032.2549999999999,6359913,-0.6125031233223852,6788622870.0,50.0,10.462207911736641,0.5961709229735624,0.020104944056569506,-31.149999999999977,1073.3
RELIANCE,1069.75,1089.5,1065.6,1073.3,1061.65,1076.85,1049.6928571428573,1035.9863636363636,6575725,0.03393316858265205,7104390948.0,50.0,12.542532166890851,0.5961709229735624,0.019044500634234213,-31.149999999999977,1016.85
RELIANCE,1075.0,1083.95,1008.1,1016.85,1073.3,1061.65,1050.2071428571428,1034.3916666666667,6229959,-0.052582186755072646,6540923210.0,50.0,9.526347099938903,0.5961709229735624,0.02521230758707228,-31.149999999999977,1043.6
RELIANCE,1029.0,1049.8,1014.1,1043.6,1016.85,1073.3,1052.7571428571428,1035.1,4912096,-0.21153638410782483,5091435246.0,50.0,9.188579915290347,0.5961709229735624,0.0251731859292708,-31.149999999999977,1004.55
RELIANCE,1034.9,1034.9,990.0,1004.55,1043.6,1016.85,1046.0357142857142,1032.9178571428572,10312353,1.0993793688071243,10404327994.0,48.205383848454616,5.704134629138025,0.5961709229735624,0.026532407625957623,-31.149999999999977,984.2
RELIANCE,1017.55,1025.75,976.7,984.2,1004.55,1043.6,1037.2857142857142,1029.6699999999998,7261772,-0.29581813190452266,7224376995.0,45.15175097276264,1.2857899219914088,0.5961709229735624,0.026033015089485717,-31.149999999999977,1004.15
RELIANCE,994.05,1011.0,994.05,1004.15,984.2,1004.55,1026.9,1028.075,5413455,-0.25452699423777003,5431058011.0,51.37786081270435,-0.5990760442572309,0.5961709229735624,0.026120157145442482,8.850000000000023,1003.95
RELIANCE,1010.0,1018.75,1000.0,1003.95,1004.15,984.2,1018.6571428571427,1026.6558823529413,2994340,-0.44687080616722596,3026275942.0,49.80738362760836,-2.084950222437783,0.5961709229735624,0.025993295283627697,-1.1999999999999318,999.35
